2026-08-17 15:43:29.222 | INFO     | src.main:custom_print:40 - [QUALITY AUDITOR] ⚠️ TẬP 15 (ID: c5c1c6c0-eb00-4bb2-94fb-4df971a4d20b) KHÔNG ĐẠT TIÊU CHUẨN KỊCH BẢN (Chương 15: Kịch bản quá ngắn (13 từ < 1000 từ tiêu chuẩn)). Dành cho writer.write_next_chapter viết mới đủ 2500+ từ!
2026-08-17 15:43:29.222 | INFO     | src.main:custom_print:40 - [QUALITY AUDITOR] ⚠️ TẬP 16 (ID: 30483167-717b-4a2b-9665-51f98a40c0d8) KHÔNG ĐẠT TIÊU CHUẨN KỊCH BẢN (Chương 16: Kịch bản quá ngắn (13 từ < 1000 từ tiêu chuẩn)). Dành cho writer.write_next_chapter viết mới đủ 2500+ từ!
2026-08-17 15:43:29.222 | INFO     | src.main:custom_print:40 - [QUALITY AUDITOR] ⚠️ TẬP 17 (ID: f2db30f3-0126-42d7-a46e-c91e2e2a5cc0) KHÔNG ĐẠT TIÊU CHUẨN KỊCH BẢN (Chương 17: Kịch bản quá ngắn (13 từ < 1000 từ tiêu chuẩn)). Dành cho writer.write_next_chapter viết mới đủ 2500+ từ!
2026-08-17 15:43:29.223 | INFO     | src.main:custom_print:40 - [QUALITY AUDITOR] ⚠️ TẬP 18 (ID: fc5288b1-9dd1-4696-9c5a-7a48f60aa600) KHÔNG ĐẠT TIÊU CHUẨN KỊCH BẢN (Chương 18: Kịch bản quá ngắn (13 từ < 1000 từ tiêu chuẩn)). Dành cho writer.write_next_chapter viết mới đủ 2500+ từ!
2026-08-17 15:43:29.223 | INFO     | src.main:custom_print:40 - [QUALITY AUDITOR] ⚠️ TẬP 19 (ID: 12165f92-9ad7-4ae4-8a68-4d2140171725) KHÔNG ĐẠT TIÊU CHUẨN KỊCH BẢN (Chương 19: Kịch bản quá ngắn (13 từ < 1000 từ tiêu chuẩn)). Dành cho writer.write_next_chapter viết mới đủ 2500+ từ!
2026-08-17 15:43:29.223 | INFO     | src.main:custom_print:40 - [QUALITY AUDITOR] ⚠️ TẬP 20 (ID: ad33ae76-6d10-417a-8ac0-ad80bed4588a) KHÔNG ĐẠT TIÊU CHUẨN KỊCH BẢN (Chương 20: Kịch bản quá ngắn (13 từ < 1000 từ tiêu chuẩn)). Dành cho writer.write_next_chapter viết mới đủ 2500+ từ!
2026-08-17 15:43:29.223 | INFO     | src.main:custom_print:40 - [QUALITY AUDITOR] ⚠️ TẬP 21 (ID: f23c60de-6b3a-42db-85c1-4addb827f0a9) KHÔNG ĐẠT TIÊU CHUẨN KỊCH BẢN (Chương 21: Kịch bản quá ngắn (13 từ < 1000 từ tiêu chuẩn)). Dành cho writer.write_next_chapter viết mới đủ 2500+ từ!
2026-08-17 15:43:29.223 | INFO     | src.main:custom_print:40 - [QUALITY AUDITOR] ⚠️ TẬP 22 (ID: aeb23eb4-3140-4283-b6c1-aa2218df1075) KHÔNG ĐẠT TIÊU CHUẨN KỊCH BẢN (Chương 22: Kịch bản quá ngắn (13 từ < 1000 từ tiêu chuẩn)). Dành cho writer.write_next_chapter viết mới đủ 2500+ từ!
2026-08-17 15:43:29.223 | INFO     | src.main:custom_print:40 - [QUALITY AUDITOR] ⚠️ TẬP 23 (ID: 0b5773e4-a126-4f68-9dc0-00c63dc50319) KHÔNG ĐẠT TIÊU CHUẨN KỊCH BẢN (Chương 23: Kịch bản quá ngắn (13 từ < 1000 từ tiêu chuẩn)). Dành cho writer.write_next_chapter viết mới đủ 2500+ từ!
2026-08-17 15:43:29.223 | INFO     | src.main:custom_print:40 - [QUALITY AUDITOR] ⚠️ TẬP 24 (ID: dad7624c-150f-46f3-b1c0-ec6d1ba46d11) KHÔNG ĐẠT TIÊU CHUẨN KỊCH BẢN (Chương 24: Kịch bản quá ngắn (13 từ < 1000 từ tiêu chuẩn)). Dành cho writer.write_next_chapter viết mới đủ 2500+ từ!
